header,"Online Library Card Registration Form","Formulario de Inscripción Card Library Online","在线图书馆卡登记表"
enter_birthdate,"Please Enter Your Birth Date","xxx","???"
header_adult,"Adult Library Card Registration (age 18 and above)","xxx","???"
header_teen,"Teen Library Card Registration (ages 13-17)","xxx","???"
header_child,"Child Library Card Registration (ages 5-12)","xxx","???"
month,"Month","xxx","???"
january,"January","xxx","???"
february,"February","xxx","???"
march,"March","xxx","???"
april,"April","xxx","???"
may,"May","xxx","???"
june,"June","xxx","???"
july,"July","xxx","???"
august,"August","xxx","???"
september,"September","xxx","???"
october,"October","xxx","???"
november,"November","xxx","???"
december,"December","xxx","???"
day,"Day","xxx","???"
year,"Year","xxx","???"
submit,"Submit","xxx","???"
start_over,"Start Over","xxx","???"
disability_note,"If you have a disability, ask Library staff for an Extended Services form.","xxx","???"
pickup_note_adult,"Pick up your library card in person from your nearest branch within 14 days of applying with the following documents:<ol><li>Photo ID</li><li>Proof of address</li></ol>","xxx","???"
pickup_note_teen,"Pick up your library card in person from your nearest library branch within 14 days of applying with your photo ID. Proof of address is required with ID for full access to our services, but we accept multiple forms of identification.  If no ID or proof of address is available, a parent/guardian signature on a <a href=""http://www.oaklandlibrary.org/sites/default/files/uploads/OPL_Card_App_Eng_Teens_0.pdf"">paper application</a> is also acceptable.","xxx","???"
pickup_note_child,"Parent/Legal Guardian and child must both present themselves for the child to receive the card within 14 days of applying. Alternatively, you may print and fill out a <a href=""http://www.oaklandlibrary.org/sites/default/files/uploads/OPL_Card_App_Eng_Kids_0.pdf"">paper application</a> for the child to receive a card without parent/legal guardian present.","xxx","???"
required,"required field","xxx","???"
name,"Name","xxx","???"
last_name,"Last Name","xxx","???"
first_name,"First Name","xxx","???"
middle_initial,"Middle Initial","xxx","???"
home_address,"Home Address","xxx","???"
street,"Street","xxx","???"
apt,"Apt.#","xxx","???"
city,"City","xxx","???"
zip,"CA. Zip Code","xxx","???"
phone,"Telephone","xxx","???"
phone_note,"(including area code)","xxx","???"
mailing_address,"Mailing Address (if different from home address)","xxx","???"
email,"E-Mail Address","xxx","???"
pref_lang,"Preferred Language","xxx","???"
pref_lang_note,"If you prefer to read in a language other than English, please indicate that language here","xxx","???"
parent_info,"Parent/Guardian Identification","xxx","???"
school,"School","xxx","???"
parent_note,"You may register using one of several identification types. Please select an identification type by clicking one of the buttons below, and then enter the number shown on your ID. For more information about the accepted types of identification, please see &ldquo;<a href=""#"" onclick=""lightbox_open(acceptable_id());"">What forms of identification are accepted?</a>&rdquo;","xxx","???"
ident,"Identification","xxx","???"
ident_note,"You may register using one of several identification types. Please select an identification type by clicking one of the buttons below, and then enter the number shown on your ID. For more information about the accepted types of identification, please see &ldquo;<a href=""#"" onclick=""lightbox_open(acceptable_id());"">What forms of identification are accepted?</a>&rdquo; Please see staff if you have ID not listed here.","xxx","???"
drivers_license,"Driver's License","xxx","???"
resident_card,"Permanent Resident Card","xxx","???"
state_id,"State Issued ID Card","xxx","???"
matricula,"Matricula Consular ID Card","xxx","???"
city_id,"Oakland City ID/Municipal City ID","xxx","???"
student_id,"Student ID Card","xxx","???"
passport,"Passport","xxx","???"
ident_number,"ID Number","xxx","???"
agreement,"Online Agreement","xxx","???"
agreement_note_adult_teen_adult,"I agree to follow all library rules, pay all fines and fees, and give immediate notice of any change of address, phone number, or loss of library card. I understand that I am responsible for all items checked out on this card, that some items such as DVDs and videos have higher fines, and that I am the only authorized user of this card.","xxx","???"
agreement_note_child,"As parent/Legal Guardian, I understand and agree that:<br /><ul><li>The library may only give the card to my child.  Only my child may use his or her card.</li><li>The library allows my child to use any materials, from any section.   The library cannot limit the types of books or movies my child checks out, even if I ask.</li><li>My child’s library record (like mine) is private by law. The library cannot tell me what my child has checked out, except when a fine is owed.</li><li>Some materials have fines if they are returned late, and all lost or damaged materials have fines.  I am responsible for any fines on my child’s record.</li><li>My child can use computers at the library for up to one hour per day.  The library does not limit what children can look at, and does not supervise children on the computer.</li><li>If my child is younger than eight years old, he or she must be closely supervised by a parent or responsible caregiver, and may not be left unattended in the library.</li></ul>","xxx","???"
agree,"I agree to follow all library rules.","xxx","???"
submit_error,"Submission Error","xxx","???"
submit_error_note,"We were unable to process your form. Please contact a librarian for assistance.","xxx","???"
error_last_name,"Last name must not be empty.","xxx","???"
error_first_name,"First name must not be empty.","xxx","???"
error_phone,"Please enter a valid 10-digit phone number in the format: xxx-xxx-xxxx","xxx","???"
error_home_address,"Please enter your home street address.","xxx","???"
error_home_city,"Please enter your home city.","xxx","???"
error_home_zip,"Please enter a valid CA zip-code.","xxx","???"
error_email,"Please enter a valid email address.","xxx","???"
error_id_types,"Please select an identification type.","xxx","???"
error_id_number,"Please enter a valid identification number.","xxx","???"
error_guardian_last_name,"Please enter the parent/guardian's last name.","xxx","???"
error_guardian_first_name,"Please enter the parent/guardian's first name.","xxx","???"
error_guardian_id_types,"Please select an identification type.","xxx","???"
error_guardian_id_number,"Please enter a valid identification number.","xxx","???"
error_agreement_box,"You must read and agree to the library terms before submitting this form.","xxx","???"
error_problems,"One or more problems were found. Please check the highlited fields before clicking submit.","xxx","???"
confirm,"Online Registration Confirmation","xxx","???"
date_registered,"Date registered:","xxx","???"
thanks,"Thanks for registering!","xxx","???"
confirm_note,"<p>Please <strong>print this confirmation</strong> and bring it with the following documents to any Oakland Public Library within 14 days to pick up your card:</p><ul><li>Photo ID</li><li>Proof of address</li></ul><p> For children under 13, instead, a parent/Legal Guardian and child must both be present for the child to receive the card.</p>","xxx","???"
button_print,"Print Confirmation","xxx","???"
button_startover,"Close","xxx","???"
